request_title,category,subcategory,urgency_level,priority_label,estimated_people_affected,location_city,location_state,deadline_hours,required_skills,required_items,volunteers_needed,is_medical_emergency,is_disaster_related,transport_required,contact_preference,task_type,effort_level,min_experience_level,shift_type,need_type,family_count,children_involved,elderly_involved,request_description
Animal Welfare Help – Hyderabad,animal_welfare,animal_rescue,medium,Medium,0,Hyderabad,Telangana,24,rescue|medical,,50,0,1,0,email,animal_rescue,medium,beginner,any,animal_rescue,0,0,0,Stray animals injured in floods in Hyderabad. Need 50 volunteers for rescue and care
Medical Assistance Request – Delhi,medical,vaccination_drive,medium,Medium,0,Delhi,Delhi,48,medical|logistics,,200,0,0,0,email,vaccination_drive,medium,beginner,any,vaccination_drive,0,0,0,Need 200 volunteers to assist in COVID vaccination drive in Delhi
Disaster Relief Support – Delhi,disaster_relief,cyclone_relief,critical,Critical,600,Delhi,Delhi,48,,food|shelter|blankets,0,0,1,1,phone,cyclone_relief,medium,beginner,any,cyclone_relief,150,0,0,Cyclone affected 150 families in Delhi need immediate shelter and food. Urgent help needed in 48 hours
Admin Volunteer Need – Indore,administration,data_entry,low,Low,0,Indore,Madhya Pradesh,168,data_entry,,20,0,0,0,email,data_entry,low,beginner,any,data_entry,0,0,0,Need 20 volunteers for data entry and documentation work for NGO in Indore. Situation is whenever.
Animal Welfare Help – Hyderabad,animal_welfare,shelter_support,low,Low,0,Hyderabad,Telangana,72,,,150,0,0,0,whatsapp,shelter_support,medium,beginner,any,shelter_support,0,0,0,Animal shelter in Hyderabad needs 150 volunteers for feeding and care. Situation is next week.
Mental Health Support – Bengaluru,mental_health,trauma_counseling,high,High,75,Bengaluru,Karnataka,8,counseling,,0,0,1,0,phone,trauma_counseling,medium,experienced,any,trauma_counseling,0,0,0,Trauma counseling needed for 75 disaster survivors in Bengaluru. Need certified counselors. Situation is tonight.
Food Distribution Need – Surat,food_relief,food_distribution,high,High,0,Surat,Gujarat,24,food_distribution|logistics,,30,0,0,0,phone,food_distribution,medium,beginner,morning,food_distribution,0,0,0,Need 30 volunteers for food distribution in Surat tomorrow morning
Food Distribution Need – Hyderabad,food_relief,ration_distribution,high,High,200,Hyderabad,Telangana,48,,ration_packets,2,0,0,0,email,ration_distribution,medium,beginner,any,ration_distribution,50,0,0,Ration distribution for 50 poor families in Hyderabad. Need volunteers in 48 hours
Childcare Support – Delhi,childcare,orphan_support,high,High,20,Delhi,Delhi,8,counseling|teaching,,4,0,1,0,whatsapp,orphan_support,medium,beginner,any,orphan_support,0,1,0,Need volunteers to care for 20 orphaned children in Delhi disaster relief camp. Situation is today.
Food Distribution Need – Indore,food_relief,community_kitchen,medium,Medium,0,Indore,Madhya Pradesh,48,food_distribution,,20,0,0,0,phone,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Indore needs 20 volunteers to cook meals for homeless people. Situation is tomorrow.
