task_title,task_description,task_category,location,disaster_type,requested_volunteers_count,deadline_hours,created_hour,ngo_manual_urgency,priority_label
Educational material sorting volunteers needed next week,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Awareness,Karnataka,None,1,120,16,low,Medium
Community survey volunteers for planning phase,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Awareness,West Bengal,None,2,168,9,low,Low
Food distribution volunteers needed this evening,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Medical,Rajasthan,None,4,36,10,high,Critical
Legal aid camp volunteers needed next few days,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Awareness,Himachal Pradesh,Flood,8,72,15,medium,Medium
Website update volunteer needed,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Education,Bihar,None,2,240,13,low,Medium
Rescue team needed near landslide zone tonight,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Medical,Rajasthan,Landslide,1,8,15,critical,Critical
Psychosocial support volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Food & Nutrition,Assam,Flood,8,48,12,high,High
Donation collection drive volunteers this weekend,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Awareness,Uttarakhand,None,5,96,10,medium,Medium
Volunteers needed tomorrow for ration distribution,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Food & Nutrition,Pune,None,7,24,13,high,High
Water distribution support for flood-affected area,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Gujarat,None,5,36,9,high,High
Library books sorting volunteers this weekend,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Logistics & Transport,Madhya Pradesh,None,5,96,8,low,Medium
Urgent medical volunteers needed at flood relief camp,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Andhra Pradesh,Landslide,3,4,18,critical,Critical
Volunteers needed tomorrow for ration distribution,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Sanitation,Andhra Pradesh,Flood,7,12,18,high,High
Awareness campaign volunteers needed this Saturday,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Awareness,Guwahati,Flood,9,72,12,medium,Medium
Volunteers needed this weekend for donation packaging,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Food & Nutrition,Mumbai,None,2,72,11,medium,Medium
Transport volunteers for weekly supply delivery,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Food & Nutrition,West Bengal,None,8,72,15,medium,Medium
Emergency blood donors required immediately,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Rescue & Evacuation,Chennai,Earthquake,4,8,10,high,Critical
Skill training session support volunteers,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Psychosocial Support,Pune,Flood,2,72,18,medium,Medium
Transport volunteers for weekly supply delivery,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Awareness,Himachal Pradesh,None,2,48,12,medium,Medium
Community kitchen volunteers needed this week,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Food & Nutrition,Andhra Pradesh,None,7,72,11,low,Medium
Urgent: temporary shelter construction volunteers,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Karnataka,Flood,3,36,14,critical,High
Website update volunteer needed,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Fundraising,Bihar,None,3,336,13,low,Low
Medical camp volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Sanitation,Madhya Pradesh,Flood,8,36,13,high,High
Educational material sorting volunteers needed next week,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Administration,Guwahati,None,1,120,11,low,Low
Psychosocial support volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Logistics & Transport,Gujarat,None,3,48,19,critical,High
Emergency medical aid volunteers for flood victims,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Logistics & Transport,Himachal Pradesh,None,1,4,19,critical,High
Food distribution volunteers needed this evening,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Madhya Pradesh,None,4,18,8,high,High
Skill training session support volunteers,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Logistics & Transport,West Bengal,Flood,10,96,16,low,Medium
Psychosocial support volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Sanitation,Karnataka,Cyclone,8,12,21,medium,High
Volunteer coordinator assistant needed,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Awareness,Chennai,None,4,504,17,low,Low
Donation collection drive volunteers this weekend,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Logistics & Transport,Pune,None,7,72,14,medium,Medium
Urgent: temporary shelter construction volunteers,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Shelter,Madhya Pradesh,Cyclone,8,48,21,medium,High
